job_title,company_name,company_location,Job_link,post_date
Analista de Datos,Echeverría Izquierdo S.A,"Las Condes, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-at-echeverr%C3%ADa-izquierdo-s-a-3537472914?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=7V4EkyCgG5f5f3s9QabAQA%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-03-24
Analista de datos,INOVABIZ,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-at-inovabiz-3562634243?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=rAtervq%2F9euRn3iEqhp3vQ%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-04-12
Analista Inteligencia de Datos (Power BI excluyente),Industria de Alimentos Trendy S.A,"Quilicura, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-inteligencia-de-datos-power-bi-excluyente-at-industria-de-alimentos-trendy-s-a-3406138051?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=E64FzZWsiG8QYDwTIhLIKw%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card,2022-11-29
Data Analyst Jr Adv/Semi Senior,Acid Labs,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-analyst-jr-adv-semi-senior-at-acid-labs-3535406417?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=5nmWE9BHtHfMJQ4C32MY3A%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-03-23
Data Scientist,Page Personnel,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-at-page-personnel-3526449994?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=d9eOPloWri3HZDtb52FMPA%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-03-14
(N) Data Scientist Inglés Intermedio Alto - Contrato Indefinido,BC Tecnología,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/n-data-scientist-ingl%C3%A9s-intermedio-alto-contrato-indefinido-at-bc-tecnolog%C3%ADa-3556441952?refId=qsjMdP7a9OvCW43BIleZoQ%3D%3D&trackingId=moml9HUE9Bp2f7Am1%2FYYiA%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card,2023-04-06
Data Scientist,Falabella,"Renca, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-scientist-at-falabella-3540926254?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=RjOic%2FwEE6bdVvIQEM5LRQ%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-03-28
LÍDER DE ÁREA VISIÓN ARTIFICIAL,HighService Corp,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/l%C3%ADder-de-%C3%A1rea-visi%C3%B3n-artificial-at-highservice-corp-3538736180?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=eMLhK%2F0O5VhB7%2BCrVDzgKQ%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-03-25
Data Analytics,Michael Page,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/data-analytics-at-michael-page-3489162353?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=BaFplTT27CwGp8U%2B6W69Hw%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-02-23
Ingeniero I+D,BRASS Chile,"Las Condes, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/ingeniero-i%2Bd-at-brass-chile-3558872732?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=GTXkSNC6UyivrxjVow3QFg%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-04-11
"Ingeniero de Datos, IDIEM, Universidad de Chile",IDIEM,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/ingeniero-de-datos-idiem-universidad-de-chile-at-idiem-3564341413?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=9KCAxoJCJbMcwCuzqdTFaw%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-04-13
"Analista de Datos para Hualpén (Región del Bio Bio) – Contrato Plazo Fijo, luego",BC Tecnología,"Gran Santiago, Región Metropolitana de Santiago, Chile",https://cl.linkedin.com/jobs/view/analista-de-datos-para-hualp%C3%A9n-regi%C3%B3n-del-bio-bio-%E2%80%93-contrato-plazo-fijo-luego-at-bc-tecnolog%C3%ADa-3560879250?refId=%2FhZV5ChMgdPTCLgsRpgVBA%3D%3D&trackingId=5MP77CcdNgdNu0OxqehD5A%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card,2023-04-11
